amount,hour_of_day,account_age_days,avg_historical_ticket,amount_zscore,velocity_1h,velocity_24h,distinct_merchants_24h,cross_merchant_velocity_1h,geo_mismatch,new_device,new_payee,payee_added_to_txn_minutes,sim_or_device_change_recent,session_duration_sec,is_international,chargeback_history_count,merchant_risk_score,billing_shipping_mismatch,fraud_pattern,is_fraud
404.75,8,292,493.88,-0.451,1,3,2,3,0,1,1,2,0,127.7,0,0,0.226,0,legit,0
1419.28,13,1591,1591.74,-0.271,0,4,2,0,0,0,0,769,0,283.5,0,0,0.186,0,legit,0
2216.12,21,542,1574.83,1.018,0,0,2,0,0,0,0,16343,0,59.0,0,0,0.083,0,legit,0
600.31,11,65,387.32,1.375,0,2,2,0,0,0,1,4,0,96.2,0,0,0.152,0,legit,0
625.28,16,190,866.83,-0.697,1,2,1,0,0,0,0,18,0,29.8,0,0,0.203,0,legit,0
731.69,17,213,1439.46,-1.229,0,2,1,0,0,1,0,18,0,147.0,0,0,0.116,0,legit,0
376.86,17,44,670.6,-1.095,1,1,1,0,0,0,1,45822,0,101.5,0,0,0.029,0,legit,0
2326.83,7,165,1337.59,1.849,0,1,1,0,0,0,0,14520,0,56.4,0,0,0.219,1,legit,0
690.29,8,250,582.33,0.464,0,0,3,0,0,0,0,2375,0,99.0,0,0,0.0,0,legit,0
1755.98,20,135,1392.35,0.653,0,2,3,0,0,0,0,131,0,128.7,0,0,0.123,0,legit,0
1101.57,1,688,1340.33,-0.445,1,4,1,0,0,0,0,148,0,37.4,0,0,0.314,1,legit,0
990.17,7,48,731.45,0.884,0,1,2,0,0,0,1,570,0,40.2,0,0,0.018,0,legit,0
1629.77,11,931,2001.92,-0.465,1,0,2,1,0,0,0,2524,1,129.4,0,0,0.086,0,legit,0
598.67,5,650,498.92,0.5,0,0,2,1,0,0,0,5333,0,163.2,0,0,0.16,0,legit,0
2582.13,22,527,2240.57,0.381,0,3,1,0,0,0,0,104,0,31.4,0,0,0.152,0,legit,0
893.65,17,317,901.66,-0.022,0,5,1,0,0,0,0,50,0,43.8,0,0,0.032,0,legit,0
56.49,6,295,50.0,0.324,0,5,4,0,0,1,0,5122,0,141.7,0,0,0.057,0,legit,0
481.16,6,238,863.52,-1.107,0,3,1,0,0,0,0,158,0,105.7,0,0,0.0,0,legit,0
1270.55,17,430,1136.15,0.296,1,3,2,0,0,0,0,221,0,56.5,0,0,0.09,0,legit,0
93.67,11,925,60.4,1.377,0,2,3,0,0,0,1,352,0,37.8,0,0,0.067,0,legit,0
28.23,22,482,50.0,-1.089,0,3,1,0,0,0,0,1947,0,22.3,0,0,0.226,0,legit,0
367.1,3,128,426.3,-0.347,0,0,1,0,0,0,0,2217,0,121.2,0,0,0.415,0,legit,0
974.69,23,452,1524.95,-0.902,0,2,2,0,0,0,1,173,0,60.3,0,0,0.165,0,legit,0
27.95,19,486,50.0,-1.103,0,3,1,0,0,0,0,4664,0,28.7,0,0,0.043,0,legit,0
2008.38,22,90,2112.29,-0.123,0,2,1,0,0,0,0,2240,0,89.0,0,0,0.03,0,legit,0
2287.06,13,1390,1403.36,1.574,1,2,1,0,0,0,0,217,0,191.7,0,0,0.0,0,legit,0
570.0,12,303,566.74,0.014,1,2,3,0,0,0,0,1347,0,58.6,1,0,0.0,0,legit,0
895.33,21,325,1130.04,-0.519,1,0,1,0,0,0,0,716,0,364.9,0,0,0.019,0,legit,0
537.97,22,330,564.93,-0.119,0,3,1,0,0,0,0,6990,0,60.4,0,0,0.147,0,legit,0
2384.78,14,222,1442.98,1.632,0,1,2,0,0,0,0,42,0,58.5,0,0,0.124,0,legit,0
663.35,4,100,1155.26,-1.065,0,6,2,0,0,0,0,25,0,82.9,0,0,0.0,0,legit,0
985.76,9,391,548.21,1.995,0,1,3,0,0,0,0,14142,0,78.5,0,0,0.048,0,legit,0
876.51,9,615,1393.46,-0.927,1,3,3,0,0,0,0,386,0,106.2,0,0,0.0,0,legit,0
1238.48,4,163,1479.04,-0.407,0,3,2,0,0,1,0,327,0,42.9,0,0,0.082,0,legit,0
605.08,23,413,1492.91,-1.487,0,4,1,0,0,0,0,163,0,92.8,0,0,0.069,0,legit,0
86.8,10,741,401.72,-1.96,0,2,2,0,0,0,0,1294,0,84.4,0,0,0.207,0,legit,0
752.25,20,639,787.61,-0.112,0,2,2,0,0,0,0,292,0,62.6,0,0,0.219,0,legit,0
692.15,21,627,511.21,0.885,1,4,1,0,0,0,1,7358,0,136.6,0,0,0.103,0,legit,0
1101.93,19,747,2069.46,-1.169,0,3,4,1,0,0,0,892,0,53.1,0,0,0.302,0,legit,0
1093.36,3,266,979.26,0.291,0,2,1,0,0,0,0,6322,0,292.9,0,0,0.118,0,legit,0
1106.46,15,197,1020.16,0.211,0,4,2,0,0,0,0,10282,0,5.8,0,0,0.023,0,legit,0
1560.95,17,404,1325.25,0.445,1,3,1,2,0,0,0,2491,0,477.9,0,0,0.348,0,legit,0
668.45,13,449,396.63,1.713,0,5,4,1,0,0,0,60,0,304.2,0,0,0.0,0,legit,0
480.47,6,373,1221.98,-1.517,0,3,1,1,0,0,0,116,0,52.0,0,0,0.195,0,legit,0
1140.27,10,291,718.27,1.469,0,1,2,0,0,0,0,651,0,136.6,0,0,0.358,0,legit,0
11121.04,16,116,2088.17,10.814,0,1,1,0,0,1,1,5,1,64.1,0,0,0.063,0,account_takeover_simswap,1
1216.03,1,74,1263.58,-0.094,0,3,1,0,0,0,0,49,0,411.3,0,0,0.358,0,legit,0
1925.96,11,1182,1965.17,-0.05,3,3,3,0,0,1,1,32,0,40.7,0,0,0.0,0,legit,0
1178.9,7,535,1347.27,-0.312,0,2,1,0,0,0,0,707,0,39.3,0,0,0.016,0,legit,0
1345.68,4,290,949.5,1.043,0,0,2,0,0,0,0,1634,0,98.8,0,0,0.108,0,legit,0
35.43,12,67,50.0,-0.729,0,1,3,0,0,1,1,74,0,192.9,0,0,0.283,0,legit,0
533.41,4,179,388.55,0.932,0,5,2,0,0,0,0,401,0,148.7,0,0,0.0,0,legit,0
182.13,8,781,153.63,0.464,0,1,1,0,0,0,0,2556,0,289.2,0,0,0.104,0,legit,0
1252.26,20,125,1267.35,-0.03,1,2,2,0,0,0,0,116,0,69.4,0,0,0.123,0,legit,0
902.2,5,657,872.88,0.084,0,4,5,0,0,1,0,14,0,45.9,0,0,0.254,0,legit,0
377.89,17,443,314.43,0.505,1,2,2,0,0,0,0,1576,0,47.5,0,0,0.03,0,legit,0
650.86,12,554,802.52,-0.472,0,1,2,0,0,0,0,4007,0,87.2,0,0,0.057,0,legit,0
958.94,3,237,1518.19,-0.921,0,3,2,2,0,1,1,2911,0,199.4,0,0,0.007,0,legit,0
10.0,19,44,1773.71,-2.486,0,1,1,3,0,0,0,13115,0,366.9,0,2,0.077,0,legit,0
2979.73,1,1303,1930.37,1.359,2,2,1,0,0,0,1,1074,1,84.6,0,0,0.052,0,legit,0
1191.44,2,257,756.53,1.437,0,1,1,0,0,0,0,1998,0,145.6,0,0,0.143,0,legit,0
391.86,0,530,752.61,-1.198,0,2,2,0,0,0,0,45065,0,184.5,0,0,0.159,0,legit,0
1696.6,10,358,1028.75,1.623,2,2,1,0,0,0,1,1179,0,33.4,0,0,0.0,0,legit,0
1073.85,22,198,681.7,1.438,2,3,5,0,0,0,1,682,0,870.3,0,0,0.026,0,remote_access_session,1
642.68,14,276,1262.66,-1.228,0,3,2,0,0,0,1,588,0,74.5,0,0,0.095,0,legit,0
319.04,0,786,312.37,0.053,0,0,2,1,0,0,1,11770,0,29.9,0,0,0.356,0,legit,0
2657.04,11,272,1847.18,1.096,0,4,2,0,0,0,0,297,0,74.1,0,0,0.071,0,legit,0
1280.39,17,26,1311.97,-0.06,0,2,1,0,0,0,0,1188,0,24.4,0,0,0.147,0,legit,0
504.98,6,397,712.39,-0.728,4,4,1,1,0,0,0,166,0,581.8,0,0,0.233,0,legit,0
2040.71,5,575,1749.27,0.417,0,1,1,0,0,0,0,15,0,67.4,0,0,0.277,0,legit,0
1732.86,23,419,1868.3,-0.181,1,5,3,0,0,0,0,368,0,119.3,0,0,0.337,0,legit,0
308.62,7,323,1368.29,-1.936,0,2,2,0,0,0,0,877,0,50.3,0,0,0.001,0,legit,0
1193.46,1,1538,1566.63,-0.595,0,1,1,1,0,0,0,116,0,36.3,0,0,0.233,0,legit,0
2696.61,18,314,1417.89,2.255,0,4,3,0,0,0,0,39,0,535.9,0,0,0.524,0,legit,0
2676.54,18,413,1397.79,2.287,2,3,1,0,0,0,0,5816,0,35.8,0,0,0.0,0,legit,0
712.75,13,230,595.23,0.494,0,2,1,0,0,0,1,4850,0,46.3,0,0,0.414,0,legit,0
958.36,19,130,1316.82,-0.681,0,1,1,0,0,0,0,9,0,60.1,0,0,0.31,0,legit,0
1193.46,15,251,1232.92,-0.08,2,3,3,0,0,0,0,49400,1,80.5,0,0,0.011,0,legit,0
1989.2,1,425,1708.66,0.41,0,1,1,0,0,0,0,569,0,12.2,0,0,0.228,0,legit,0
1216.0,11,272,819.62,1.209,2,4,1,0,0,0,1,74,0,35.8,0,0,0.059,0,legit,0
1948.51,11,352,1319.19,1.193,0,2,3,0,0,0,0,189,0,83.9,0,0,0.259,0,legit,0
506.61,9,407,525.22,-0.089,0,0,2,1,0,0,0,274,0,47.1,0,0,0.0,0,legit,0
1182.85,11,914,1039.26,0.345,0,0,1,0,0,0,0,534,0,39.1,0,0,0.13,0,legit,0
1314.46,18,359,1080.43,0.542,1,1,1,0,0,0,0,79,0,28.6,0,1,0.078,0,legit,0
543.55,9,797,745.5,-0.677,0,4,3,0,0,0,0,959,0,116.4,0,0,0.07,0,legit,0
370.85,2,761,1444.0,-1.858,0,2,2,0,0,0,0,67,0,140.2,0,0,0.173,0,legit,0
731.98,20,434,690.74,0.149,0,5,3,0,0,0,1,3374,0,327.7,1,0,0.075,0,legit,0
205.23,14,738,782.09,-1.844,0,1,1,0,0,0,0,73987,1,40.7,0,0,0.274,1,legit,0
3066.99,12,271,2198.02,0.988,0,2,1,0,0,0,0,3599,0,79.2,0,0,0.333,0,legit,0
713.23,15,258,419.18,1.754,0,4,5,0,0,1,0,837,0,386.2,0,0,0.325,0,legit,0
107.29,22,572,77.12,0.978,0,4,1,0,0,0,0,249,0,60.6,0,0,0.068,0,legit,0
974.63,2,740,1133.82,-0.351,0,5,1,0,0,0,0,342,0,466.8,0,0,0.0,0,legit,0
403.06,15,593,408.23,-0.032,1,1,1,0,0,0,0,155,0,278.3,0,0,0.146,0,legit,0
1121.49,2,166,951.55,0.446,0,1,2,0,0,0,1,76,0,166.8,0,0,0.186,0,legit,0
1947.03,21,188,962.38,2.558,0,1,1,0,0,0,1,2,1,56.3,0,0,0.236,0,upi_collect_scam,1
652.3,16,212,1380.94,-1.319,0,2,2,0,0,1,0,698,1,34.8,0,0,0.077,0,legit,0
1051.72,13,195,1404.5,-0.628,1,2,2,0,0,0,0,1544,0,43.3,0,0,0.129,0,legit,0
993.67,14,90,1413.69,-0.743,0,4,1,1,0,0,0,191,1,25.2,0,0,0.354,1,legit,0
1117.83,10,132,1375.48,-0.468,1,1,4,2,0,1,1,131,0,103.7,0,0,0.171,0,legit,0
1023.87,14,848,1462.15,-0.749,1,2,3,0,0,0,0,1680,0,51.4,0,0,0.202,0,legit,0
596.44,10,456,596.19,0.001,0,2,2,0,0,1,0,61,0,13.5,0,0,0.261,0,legit,0
2179.06,8,1004,1860.83,0.428,1,4,2,0,0,1,1,410,0,125.3,0,0,0.164,0,legit,0
2284.88,7,158,1409.39,1.553,0,2,1,0,0,0,0,115,0,48.8,0,0,0.194,0,legit,0
878.58,9,49,1254.24,-0.749,0,2,1,0,0,0,0,113,0,19.8,0,0,0.201,0,legit,0
815.96,18,342,1106.87,-0.657,0,0,1,0,0,0,0,767,0,97.6,0,0,0.03,0,legit,0
636.25,12,151,1157.06,-1.125,0,3,4,0,0,0,0,1193,0,62.0,0,0,0.03,0,legit,0
850.2,7,536,623.31,0.91,1,3,1,0,0,0,0,186,0,42.8,0,0,0.106,0,legit,0
1122.31,23,347,1385.38,-0.475,2,3,1,0,0,1,0,221,0,45.7,1,0,0.159,0,legit,0
665.18,14,156,1488.49,-1.383,1,3,1,0,0,0,0,19289,0,75.4,0,0,0.068,0,legit,0
375.71,21,1019,377.54,-0.012,0,0,1,0,0,0,0,9198,0,55.9,0,0,0.058,0,legit,0
2007.84,19,358,1422.71,1.028,0,1,3,0,0,0,1,2,0,198.9,0,0,0.0,0,legit,0
1171.1,0,394,1215.56,-0.091,0,2,1,0,0,0,0,40616,0,22.1,0,0,0.359,1,legit,0
612.54,19,168,1226.93,-1.252,1,4,1,0,0,0,0,215,0,50.8,0,0,0.2,0,legit,0
397.01,2,495,814.41,-1.281,1,3,1,1,0,0,0,136,0,57.8,0,0,0.248,0,legit,0
1054.42,12,117,978.64,0.194,0,1,1,0,0,1,1,1828,0,102.6,0,0,0.048,0,legit,0
1511.69,22,52,838.21,2.009,0,2,1,1,0,0,0,475,0,58.8,0,0,0.182,0,legit,0
1368.03,5,81,1125.36,0.539,0,2,2,1,0,1,0,51,0,219.9,0,0,0.009,0,legit,0
881.13,16,118,1214.32,-0.686,1,1,1,0,0,0,1,145,0,54.6,1,0,0.012,0,legit,0
1445.83,2,204,940.06,1.345,0,2,1,1,0,0,0,4964,0,30.7,0,0,0.388,0,legit,0
663.87,8,1171,1809.24,-1.583,0,2,2,0,0,0,0,731,0,67.9,0,0,0.122,0,legit,0
604.81,0,389,1529.38,-1.511,0,1,1,1,0,0,0,111,0,28.0,0,0,0.162,0,legit,0
1351.8,23,301,1034.27,0.768,0,2,1,0,0,0,0,297,0,100.2,1,0,0.077,0,legit,0
805.02,9,752,1312.39,-0.966,0,2,2,1,0,0,0,146,0,138.0,0,0,0.078,0,legit,0
1069.25,16,418,1551.01,-0.777,0,3,1,0,1,0,0,1010,0,77.8,0,0,0.132,0,legit,0
810.23,21,222,856.38,-0.135,0,1,1,0,0,0,1,210,0,116.4,0,0,0.157,0,legit,0
172.88,4,356,198.32,-0.321,0,6,1,0,0,1,0,115,0,155.3,0,1,0.143,0,legit,0
1688.31,3,961,1311.75,0.718,1,2,3,0,0,0,0,39,0,81.6,0,0,0.124,0,legit,0
903.15,13,732,995.05,-0.231,2,2,1,0,0,0,0,10,0,92.8,0,0,0.0,0,legit,0
1630.77,11,592,1425.1,0.361,0,0,1,0,0,0,0,1017,0,30.1,0,0,0.321,0,legit,0
80.86,7,224,50.0,1.543,0,2,3,0,0,0,0,137,0,111.5,0,0,0.335,0,legit,0
825.42,0,801,720.88,0.363,1,3,3,0,0,0,0,12106,0,54.7,0,0,0.0,0,legit,0
2816.43,1,721,1769.24,1.48,0,1,1,1,0,0,0,87,0,28.3,0,0,0.025,0,legit,0
2105.68,22,363,1754.44,0.5,0,4,1,0,0,0,0,52,0,90.1,0,0,0.069,0,legit,0
743.46,20,240,1499.24,-1.26,0,1,1,1,0,0,1,4879,0,108.2,0,0,0.172,0,legit,0
689.82,7,197,1151.15,-1.002,0,0,2,1,0,0,0,2895,0,162.9,0,0,0.344,0,legit,0
2887.25,20,265,1979.81,1.146,0,3,1,1,0,0,0,75,0,147.0,0,0,0.22,0,legit,0
1878.27,3,604,1166.28,1.526,1,1,3,0,0,0,0,900,0,192.4,0,0,0.282,0,legit,0
1065.33,23,786,1147.6,-0.179,0,1,2,0,0,0,0,81,0,28.3,0,1,0.015,0,legit,0
1175.06,1,323,874.94,0.858,0,1,2,0,0,0,1,24295,0,84.7,0,0,0.296,0,legit,0
673.64,20,365,1026.31,-0.859,0,3,2,0,0,0,0,2955,0,269.8,0,1,0.0,0,legit,0
1649.9,12,164,1099.84,1.25,2,3,1,0,0,0,0,799,0,173.8,0,0,0.041,0,legit,0
624.62,2,239,744.91,-0.404,0,2,4,0,0,0,0,618,0,132.9,0,1,0.258,0,legit,0
463.77,23,239,915.93,-1.234,0,3,1,1,0,0,0,19,0,242.6,0,0,0.065,0,legit,0
769.19,14,556,646.87,0.473,0,2,1,0,0,0,0,2113,0,448.4,0,0,0.0,0,legit,0
1611.35,14,663,1482.54,0.217,1,3,1,0,0,0,0,4340,0,249.3,0,0,0.336,0,legit,0
770.66,16,350,622.21,0.596,0,1,2,1,0,0,0,56922,0,133.0,0,0,0.333,0,legit,0
806.51,1,523,1073.44,-0.622,0,1,2,0,0,0,0,360,0,69.1,0,0,0.0,0,legit,0
10.0,6,823,1201.2,-2.479,0,2,4,0,0,0,0,222,0,81.0,0,0,0.018,0,legit,0
1067.04,17,368,1151.08,-0.183,2,4,1,1,0,0,0,7548,0,87.1,0,0,0.219,0,legit,0
354.33,6,355,332.63,0.163,0,2,2,0,0,0,1,4550,0,227.4,0,0,0.249,0,legit,0
435.28,9,357,396.31,0.246,0,2,1,0,0,0,0,653,0,22.8,0,0,0.119,0,legit,0
2942.74,1,587,2249.74,0.77,2,2,1,0,0,0,0,35,0,197.2,0,0,0.046,0,legit,0
740.02,10,433,1154.36,-0.897,2,2,3,3,0,1,0,1899,0,357.3,0,0,0.057,0,remote_access_session,1
2004.42,18,342,1959.85,0.057,0,1,2,0,0,0,1,42,0,44.9,0,0,0.124,0,legit,0
634.62,16,672,1044.96,-0.982,0,2,1,0,0,0,1,148,0,32.4,0,0,0.0,0,legit,0
134.03,20,140,152.73,-0.306,0,2,1,2,0,0,0,152,0,107.0,0,0,0.016,0,legit,0
1322.76,0,425,1663.27,-0.512,0,2,1,1,0,0,0,2382,0,90.4,1,0,0.188,0,legit,0
993.79,11,1103,1307.41,-0.6,0,0,2,0,0,0,0,5866,0,382.8,0,0,0.0,0,legit,0
1795.24,13,478,1207.86,1.216,0,0,1,0,0,0,0,278,0,231.6,0,0,0.335,0,legit,0
2285.8,17,397,1561.78,1.159,0,0,1,0,0,0,0,697,0,69.8,0,0,0.166,0,legit,0
2393.22,3,288,1501.51,1.485,1,1,2,0,0,0,0,176,0,60.3,0,0,0.308,0,legit,0
2112.8,12,805,1201.75,1.895,0,2,1,0,0,0,0,122,0,154.3,0,0,0.165,0,legit,0
641.47,9,132,782.1,-0.45,0,2,1,0,0,0,0,3038,0,72.0,0,0,0.292,0,legit,0
1440.82,16,298,1473.46,-0.055,0,2,1,1,0,0,0,6604,0,142.5,0,0,0.063,0,legit,0
1161.57,8,774,1505.72,-0.571,0,2,1,0,0,0,0,22,0,13.5,0,0,0.002,0,legit,0
2569.42,5,722,1982.5,0.74,0,1,2,0,0,0,0,88,0,36.4,0,0,0.0,0,legit,0
1071.96,19,224,1096.73,-0.056,0,1,1,0,0,0,0,7001,0,40.4,0,0,0.474,0,legit,0
1452.62,19,148,1433.16,0.034,0,1,1,0,0,0,1,239,0,259.8,0,0,0.001,0,legit,0
735.97,7,228,582.83,0.657,1,1,1,0,0,0,0,218,0,23.5,0,0,0.183,0,legit,0
770.49,22,371,796.86,-0.083,1,4,2,0,0,0,1,109,0,34.9,0,0,0.399,0,legit,0
193.69,10,679,208.58,-0.178,1,3,1,1,0,0,0,1685,0,33.2,0,0,0.158,0,legit,0
2470.68,4,171,1538.93,1.514,0,2,1,0,0,0,0,207,0,17.5,0,0,0.031,0,legit,0
662.56,1,391,736.86,-0.252,0,2,1,0,0,1,0,29939,0,33.4,0,0,0.0,0,legit,0
1780.11,11,323,1432.55,0.607,1,1,1,0,0,0,0,73,0,171.6,0,0,0.015,0,legit,0
1727.7,12,408,1398.87,0.588,0,1,1,0,0,0,0,58,0,162.4,0,0,0.164,0,legit,0
1990.31,4,171,1004.78,2.452,1,2,7,1,0,1,1,14,1,28.4,0,0,0.117,0,legit,0
1217.61,2,333,1571.78,-0.563,0,3,1,1,0,1,1,778,0,72.0,0,0,0.282,0,legit,0
3469.85,3,156,2209.62,1.426,0,3,4,1,0,1,1,940,0,60.8,0,0,0.174,0,legit,0
823.04,22,311,803.27,0.062,1,3,1,0,0,0,0,215,0,102.9,0,0,0.381,0,legit,0
431.36,16,312,892.72,-1.292,0,2,1,0,0,0,0,94,0,224.5,0,0,0.066,0,legit,0
1216.11,8,217,2228.03,-1.135,0,2,1,0,0,0,0,835,0,101.4,0,0,0.1,0,legit,0
1314.95,3,876,1341.5,-0.049,0,0,2,0,0,0,0,145,0,33.9,0,1,0.101,0,legit,0
507.56,15,347,476.19,0.165,0,2,1,0,0,0,0,2457,1,275.6,0,0,0.14,0,legit,0
386.24,21,150,512.86,-0.617,0,4,2,0,0,0,1,442,0,111.9,0,0,0.0,0,legit,0
2043.45,2,426,1584.08,0.725,1,1,4,2,0,1,1,773,0,34.8,0,0,0.425,0,legit,0
72.69,11,429,50.0,1.134,0,3,2,0,0,0,0,270,0,10.0,0,0,0.139,0,legit,0
2323.44,13,874,1986.39,0.424,0,1,1,0,0,0,0,23429,0,64.7,0,0,0.259,0,legit,0
1179.05,11,173,985.23,0.492,0,2,2,0,0,0,1,391,0,556.8,0,0,0.211,0,legit,0
970.16,11,326,1113.53,-0.322,0,1,1,0,0,0,1,51,0,43.9,0,0,0.004,0,legit,0
1460.28,7,339,1482.66,-0.038,0,2,2,1,0,0,0,311,0,45.3,0,0,0.06,0,legit,0
1515.87,20,58,1759.08,-0.346,1,17,5,3,0,0,1,6920,0,276.7,0,0,0.326,0,mule_cashout_ring,1
60.3,10,100,50.0,0.515,0,1,3,0,0,0,0,3,0,90.1,0,0,0.074,0,legit,0
585.94,17,328,962.4,-0.978,0,3,2,0,0,0,0,1124,0,112.0,0,0,0.254,0,legit,0
10.0,18,45,716.85,-2.465,0,4,1,0,0,0,0,508,0,36.6,0,0,0.044,0,legit,0
839.15,12,92,889.13,-0.141,0,3,1,0,0,0,0,886,0,36.3,0,0,0.16,0,legit,0
789.69,1,218,835.75,-0.138,0,2,1,1,0,0,0,1751,0,21.5,0,0,0.251,0,legit,0
474.15,5,195,870.7,-1.139,0,2,1,0,0,0,0,722,0,28.1,0,0,0.24,0,legit,0
1592.84,17,24,1786.83,-0.271,2,2,4,2,0,1,1,37,0,57.1,0,0,0.308,0,legit,0
861.88,19,139,844.95,0.05,0,2,1,0,0,0,0,158,0,59.4,0,0,0.192,0,legit,0
857.88,22,491,824.85,0.1,0,0,1,0,0,0,1,745,0,69.9,0,0,0.062,0,legit,0
603.59,16,294,926.0,-0.87,0,3,1,0,0,0,0,896,0,53.2,0,0,0.303,0,legit,0
1453.21,18,282,1242.56,0.424,0,4,4,0,0,1,1,164,0,97.5,0,0,0.109,0,legit,0
639.74,19,501,668.62,-0.108,0,2,1,0,0,0,1,58,0,9.3,0,1,0.116,1,legit,0
1558.26,9,866,1003.99,1.38,0,1,2,0,0,0,0,280,0,168.5,0,0,0.0,0,legit,0
1613.16,15,519,1181.78,0.913,1,4,2,0,0,1,0,1,0,208.6,0,0,0.417,1,legit,0
1480.01,14,481,1363.29,0.214,1,0,5,0,0,0,0,4697,0,101.2,0,0,0.232,0,legit,0
36.04,21,225,50.0,-0.698,0,1,3,0,0,0,0,100,0,66.3,0,0,0.194,0,legit,0
888.56,22,422,1273.52,-0.756,0,2,2,1,0,0,1,7199,0,88.2,0,0,0.044,0,legit,0
3441.02,2,124,1009.79,6.019,1,3,1,1,0,1,1,2,0,54.4,0,0,0.189,1,account_takeover_simswap,1
2345.04,23,219,2133.3,0.248,0,3,2,0,0,0,0,204,1,276.6,0,0,0.239,0,legit,0
1656.22,15,256,1421.06,0.414,1,3,3,0,0,0,0,12,0,48.3,0,0,0.0,0,legit,0
1303.5,20,479,1531.08,-0.372,0,3,1,2,0,0,0,5,0,58.1,0,0,0.174,0,legit,0
